title,authors,average_rating,isbn,language_code,# num_pages
Miami Blues (Hoke Mosely #1),Charles Willeford-Elmore Leonard,3.94,1400032466,eng,191
I am Charlotte Simmons,Tom Wolfe,3.41,312424442,eng,738
Poetry for Young People: Edward Lear,Edward Lear-Laura Huliska-Beith-Edward Mendelson,3.9,806930772,eng,48
The Puffin Book of Nonsense Verse,Quentin Blake,4.04,140366601,eng,287
Henry Miller on Writing,Henry Miller-Thomas H. Moore,4.23,811201120,eng,217
Quiet Days in Clichy,Henry Miller,3.69,080213016X,eng,154
Tropic of Cancer,Henry Miller-Jiří Níl,3.69,802131786,eng,318
Tropic of Capricorn,Henry Miller,3.82,802151825,eng,348
Nexus (The Rosy Crucifixion  #3),Henry Miller,4.09,802151787,eng,316
Sexus (The Rosy Crucifixion  #1),Henry Miller,4.04,802151809,eng,506
The Air-Conditioned Nightmare,Henry Miller,3.83,811201066,eng,292
The Portrait of a Lady,Henry James-Patricia Crick,3.77,141439637,eng,797
The Portrait of a Lady,Henry James-Gabriel Brownstein-Mary Cregan,3.77,1593080964,eng,635
The Lover,Marguerite Duras-Barbara Bray-Maxine Hong Kingston,3.75,375700528,eng,117
The War,Marguerite Duras-Barbara Bray-قلسم روبین,3.85,1565842219,eng,192
The Ravishing of Lol Stein,Marguerite Duras-Richard Seever,3.67,394743040,en-US,181
Destroy  She Said,Marguerite Duras-Barbara Bray-Helen Lane Cumberford,3.68,080215154X,eng,133
L'Amant de la Chine du Nord,Marguerite Duras,3.89,2070388093,fre,246
Love Letters,Kahlil Gibran-Suheil Bushrui-Salma H. Al-Kuzbari,3.67,1851681825,eng,178
Kahlil Gibran: His Life and World,Jean Gibran-جبران خليل جبران-Kahlil Gibran,4.2,156656249X,eng,464
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran-John Walbridge-Robin Waterfield,4.19,014019553X,eng,102
Jesus the Son of Man,Kahlil Gibran-جبران خليل جبران,3.98,394431243,eng,216
The Broken Wings,Kahlil Gibran-جبران خليل جبران-Anthony R. Ferris,3.92,806501901,eng,132
Sand and Foam,Kahlil Gibran-جبران خليل جبران,4.08,067943920X,eng,100
Treasure Island,Robert Louis Stevenson,3.83,753453800,eng,311
Treasure Island,Robert Louis Stevenson-Scott McKowen,3.83,1402714572,en-US,213
Treasure Island,Robert Louis Stevenson,3.83,1416500294,eng,245
Treasure Island,Robert Louis Stevenson-N.C. Wyeth-Timothy Meis,3.83,689854684,eng,64
Treasure Island,Robert Louis Stevenson-Milo Winter,3.83,517221144,en-US,272
Treasure Island (Great Illustrated Classics),Deidre S. Laiken-A.J. McAllister-Robert Louis Stevenson,4.04,1577658051,eng,232
Daniel Deronda,George Eliot-Edmund White,3.83,037576013X,eng,796
100 Years of Lynchings,Ralph Ginzburg,4.63,933121180,eng,270
One Hundred Years of Solitude,Gabriel García Márquez-Gregory Rabassa,4.06,60531045,eng,417
Cien años de soledad,Gabriel García Márquez,4.06,785950109,spa,448
Cien años de soledad,Gabriel García Márquez,4.06,8423919005,spa,456
On Beyond Zebra!,Dr. Seuss,4.04,394800842,eng,64
The Wedding Clause,Debbie Raleigh,3.58,821778250,eng,256
The Zebra Wall,Kevin Henkes,3.46,60733039,eng,147
El perfume: Historia de un asesino,Patrick Süskind,4.02,8432216062,spa,239
Jitterbug Perfume,Tom Robbins,4.24,553348981,eng,352
Perfume: The Story of a Murderer,Patrick Süskind-John E. Woods,4.02,140120831,eng,263
Off the Main Sequence: The Other Science Fiction Stories of Robert A. Heinlein,Robert A. Heinlein,4.01,1582881847,eng,738
The Door Into Summer,Robert A. Heinlein,4.01,345413997,eng,304
The Moon is a Harsh Mistress,Robert A. Heinlein,4.17,312863551,eng,382
Stranger in a Strange Land,Robert A. Heinlein,3.92,441788386,eng,528
The Notebooks of Lazarus Long,Robert A. Heinlein-Stephen Hickman,4.07,074348844X,en-US,56
To Sail Beyond the Sunset,Robert A. Heinlein,3.87,441748600,en-US,434
Job: A Comedy of Justice,Robert A. Heinlein,3.78,345316509,en-US,439
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,765314932,eng,256
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,671742515,en-US,307
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.92,345455290,eng,298
Mostly Harmless (Hitchhiker's Guide to the Galaxy  #5),Douglas Adams,3.97,345418778,en-US,240
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,345476514,eng,368
Douglas Adams's Starship Titanic,Terry Jones,3.6,345368436,eng,256
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams-Christopher Cerf,3.92,1417622857,eng,336
The Phantom Tollbooth,Norton Juster-Jules Feiffer,4.21,394820371,en-US,256
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus-Norton Juster,4.1,573650969,eng,72
On Bullshit,Harry G. Frankfurt,3.57,691122946,eng,67
Another Bullshit Night in Suck City,Nick Flynn,3.78,393329402,eng,347
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.13,671867423,en-US,317
The Gettysburg Address,Abraham Lincoln-Michael McCurdy,4.53,395883970,eng,32
Underworld,Don DeLillo,3.92,684848155,eng,827
Libra,Don DeLillo,3.99,140156046,eng,480
Mao II,Don DeLillo,3.68,140152741,eng,254
Americana,Don DeLillo,3.43,140119485,eng,377
Running Dog,Don DeLillo,3.42,679722947,eng,256
Cosmopolis,Don DeLillo,3.22,743244257,eng,224
Great Jones Street,Don DeLillo,3.48,140179178,eng,272
The Names,Don DeLillo,3.64,679722955,eng,339
Against the Day,Thomas Pynchon,4.12,159420120X,eng,1085
V.,Thomas Pynchon,3.96,60930217,eng,547
The Crying of Lot 49,Thomas Pynchon,3.7,60931671,eng,152
Gravity's Rainbow,Thomas Pynchon,4.02,140283382,eng,784
Mason & Dixon,Thomas Pynchon,4.06,312423209,eng,773
Vineland,Thomas Pynchon,3.68,141180633,en-US,385
Gravity's Rainbow,Thomas Pynchon,4.02,143039946,eng,776
Slow Learner: Early Stories,Thomas Pynchon,3.5,316724432,eng,193
Been Down So Long It Looks Like Up To Me,Richard Fariña-Thomas Pynchon,3.81,140189300,eng,352
The Year of Magical Thinking,Joan Didion,3.88,140004314X,en-US,227
The White Album,Joan Didion,4.17,374522219,eng,222
A Book of Common Prayer,Joan Didion,3.8,679754865,eng,272
Where I Was From,Joan Didion,3.86,679752862,eng,240
Democracy,Joan Didion,3.81,679754857,en-US,234
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion-John Leonard,4.49,307264874,eng,1122
Play It as It Lays,Joan Didion-David Thomson,3.87,374529949,eng,231
The New York Trilogy,Paul Auster-Art Spiegelman-Luc Sante,3.9,143039830,eng,308
City of Glass (The New York Trilogy  #1),Paul Auster,3.79,140097317,eng,203
Ghosts (The New York Trilogy  #2),Paul Auster,3.65,014009735X,eng,96
The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,940650762,eng,179
Pyramids of Montauk: Explorations in Consciousness,Peter Moon-Preston B. Nichols-Nina Helms,3.91,963188925,eng,256
The Brooklyn Follies,Paul Auster,3.83,312426232,eng,306
Moon Palace,Paul Auster,3.98,140115854,eng,320
Timbuktu,Paul Auster,3.68,312263996,eng,181
Neon Lit: Paul Auster's City of Glass,Paul Karasik-David Mazzucchelli-Paul Auster-Bob Callahan,3.92,038077108X,eng,129
The Music of Chance,Paul Auster,3.9,140154078,en-US,217
Travels in the Scriptorium,Paul Auster,3.23,805081453,eng,145
Leviathan,Paul Auster,3.95,140178139,eng,275
The Red Notebook: True Stories,Paul Auster,3.77,811214982,eng,104
Timbuktu / Leviathan / Moon Palace,Paul Auster,4.4,2742741461,fre,1075
Why Write?,Paul Auster,3.77,1886224145,eng,58
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,143036556,eng,608
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb-Glen C. Strathy,3.39,446579785,en-US,211
Collapse of Complex Societies,Joseph A. Tainter,4.13,052138673X,eng,262
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.79,743203046,eng,544
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.92,034543871X,eng,272
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo-Gloria Bird-Beth Cuthand-Valerie Martinez-Patricia Blanco,4.39,393318281,eng,576
My Inventions,Nikola Tesla,4.01,1599869942,eng,88
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer-William H. Terbo,3.77,806519606,eng,542
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.95,822549204,eng,144
Tesla Papers,Nikola Tesla-David Hatcher Childress,4.12,932813860,eng,100
The Invention of Tradition,Eric Hobsbawm-Terence O. Ranger-Hugh Trevor-Roper-Prys Morgan-David Cannadine-Bernard S. Cohn,3.96,521437733,eng,320
Boys of Summer,Julie Elizabeth Leto-Leslie Kelly-Kimberly Raye,3.77,373792689,eng,256
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas-Chad Fowler-Andy Hunt,4.04,974514055,en-US,828
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly-CliffsNotes-William Golding,3.92,764585975,eng,112
Lord of the Flies,William Golding,3.67,307281701,eng,6
Lord of the Flies,William Golding-Ben Gibson-E.M. Forster-Edmund L. Epstein,3.67,399529209,eng,336
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,812969707,eng,397
We Were Not Like Other People,Ephraim Sevela-Antonina W. Bouis,4.15,60255080,eng,216
The Lovely Bones,Alice Sebold,3.79,330485385,en-GB,328
The Lovely Bones,Alice Sebold,3.79,159413023X,en-US,532
Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.81,345360354,eng,224
The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea-Molly E. Holzschlag,4,321303474,en-US,296
HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,321430840,en-US,456
1000 Record Covers,Michael Ochs-Patrick Javault-Ulrike Wasel,3.84,3822840858,mul,575
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.83,743264460,eng,245
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.74,743236017,eng,272
Reefer Madness: Sex  Drugs  and Cheap Labor in the American Black Market,Eric Schlosser,3.77,965762645,eng,310
Vice (V  #8),Jane Feather,3.51,553572490,eng,419
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,3.77,60589469,eng,540
Once Upon a Cool Motorcycle Dude,Kevin O'Malley-Carol Heyer-Scott Goto,4.08,802789471,en-US,32
Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto-Thomas J. Steele,3.72,688060692,en-GB,408
Motorcycle Basics Techbook,John Harold Haynes,3.83,185960515X,eng,222
LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel-Bill Gardner,3.96,1592530877,eng,191
The Death of Ivan Ilych And Other Stories,Leo Tolstoy-Hugh McLean,4.1,451528808,eng,304
War and Peace,Leo Tolstoy-Henry Gifford-Aylmer Maude-Louise Maude,4.11,192833987,eng,1392
The Kingdom of God Is Within You,Leo Tolstoy-Constance Garnett,4.13,486451380,eng,352
Hunters Of Dune (Dune Chronicles  #7),Brian Herbert-Kevin J. Anderson,3.65,340837489,en-GB,528
Atlas Shrugged,Ayn Rand-Leonard Peikoff,3.68,452011876,eng,1168
For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,451163087,eng,224
The Fountainhead,Ayn Rand,3.86,452286751,en-US,752
The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand-Nathaniel Branden,3.5,451163931,eng,176
Anthem,Ayn Rand,3.63,452281253,eng,105
We the Living,Ayn Rand-Leonard Peikoff,3.91,451187849,eng,464
Capitalism: The Unknown Ideal,Ayn Rand-Nathaniel Branden-Alan Greenspan-Robert Hessen,3.87,451147952,eng,340
Letters of Ayn Rand,Ayn Rand-Michael S. Berliner-Leonard Peikoff,3.97,452274044,eng,681
Sailing for Dummies,J.J. Isler-Peter Isler,3.94,471791431,eng,416
Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.87,553803816,eng,368
Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,375755195,eng,192
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.63,1592283195,eng,286
"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.08,975599518,en-US,571
The Natural,Bernard Malamud-Kevin Baker,3.63,374502005,eng,231
Digging to America,Anne Tyler,3.55,307263940,eng,277
Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo-Bonnie Lisle,3.77,312405545,eng,826
Modern Latin America,Thomas E. Skidmore-Peter H. Smith,3.59,019517013X,en-US,528
The Plot Against America,Philip Roth,3.75,1400079497,eng,391
America (The Book): A Citizen's Guide to Democracy Inaction,Jon Stewart-Ben Karlin-David Javerbaum-Rich Bloomquist-Steve Bodow-Tim Carvell-Eric Drysdale-J.R. Havlan-Scott Jacobson-Tom Johnson-Rob Kutner-Chris Regan-Jason Reich-Jason Ross-Stephen Colbert-Samantha Bee-Rob Corddry-Brendan Hay-Ed Helms,4.02,713998946,eng,228
Naked Pictures of Famous People,Jon Stewart,3.59,688171621,en-GB,164
Collected Stories,Gabriel García Márquez-Gregory Rabassa-J.S. Bernstein,4.19,60932686,eng,352
Crónica de una muerte anunciada,Gabriel García Márquez,3.96,1400034957,spa,118
Cien años de soledad,Gabriel García Márquez,4.06,307350428,spa,496
Del amor y otros demonios,Gabriel García Márquez,3.98,307350444,spa,176
Living to Tell the Tale,Gabriel García Márquez-Edith Grossman,3.98,140003454X,eng,533
Memoria de mis putas tristes,Gabriel García Márquez,3.59,1400095808,spa,112
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,4.07,375708111,eng,425
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon-Thanissaro Bhikkhu,4.38,086171492X,eng,288
The Mini Rough Guide to London,Rob Humphreys-Beth Chaplin-Rebecca Morrill,3.75,184353584X,eng,363
London: City Guide (Lonely Planet City Guide),Lonely Planet-Sarah Johnstone-Tom Masters,4.03,1740598318,eng,466
Best of London (Lonely Planet Best Of),Lonely Planet-Sarah Johnstone-Steve Fallon,4.09,1740594770,eng,128
London,Lonely Planet-Steve Fallon-Pat Yale,4.03,186450353X,eng,400
Lonely Planet Londres,Lonely Planet-Sarah Johnstone-Tom Masters,4.03,8408064762,spa,480
Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet-Mark Honan,0,1740592050,eng,295
Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,3.87,618710531,eng,287
Cryptonomicon,Neal Stephenson,4.25,60512806,eng,1139
Golgotha (Cryptonomicon  #3),Neal Stephenson,4.13,2228894699,fre,420
Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,4.11,2228894168,fre,418
The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.25,60733357,en-US,815
Quicksilver (The Baroque Cycle  #1),Neal Stephenson,3.93,60593083,eng,927
The Cobweb,Neal Stephenson-J. Frederick George,3.61,553383442,eng,448
Zodiac,Neal Stephenson,3.71,553573861,eng,308
The Big U,Neal Stephenson,3.25,380816032,en-US,308
The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson,4.19,553380966,eng,499
Interface,Neal Stephenson-George F. Jewsbury-Stephen  Bury,3.67,553383434,eng,640
Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,4.2,60833181,en-US,464
Snow Crash,Neal Stephenson,4.03,553380958,eng,438
Snow Crash,Neal Stephenson-Joachim Körber,4.03,344245302X,ger,534
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington-Bill Robertie,4.15,1880685353,eng,450
